D_id,G_id,paper
MESH:D003398,240,2
MESH:D003398,2719,7
MESH:D003398,56603,7
MESH:D003398,5979,2
MESH:D003398,268,3
MESH:D003398,57492,6
MESH:D003398,5311,1
MESH:D003398,50937,1
MESH:D003398,5156,4
MESH:D003398,2625,2
MESH:D003398,85480,2
MESH:D003398,673,5
MESH:D003398,55553,3
MESH:D003398,2147,6
MESH:D003398,5091,1
MESH:D003398,249,11
MESH:D003398,6362,1
MESH:D003398,1649,1
MESH:D003398,3440,1
MESH:D003398,2334,1
MESH:D003398,7035,1
MESH:D003398,4990,1
MESH:D003398,5727,7
MESH:D003398,2688,5
MESH:D003398,7046,8
MESH:D003398,2316,3
MESH:D003398,652,8
MESH:D003398,10959,3
MESH:D003398,6615,6
MESH:D003398,3170,1
MESH:D003398,23411,1
MESH:D003398,55636,1
MESH:D003398,5443,4
MESH:D003398,3479,7
MESH:D003398,608,10
MESH:D003398,6696,10
MESH:D003398,57539,8
MESH:D003398,727897,3
MESH:D003398,64175,1
MESH:D003398,80199,1
MESH:D003398,64219,1
MESH:D003398,80036,1
MESH:D003398,27241,4
MESH:D003398,6734,4
MESH:D003398,6497,9
MESH:D003398,8626,4
MESH:D003398,3091,4
MESH:D003398,1513,7
MESH:D003398,7042,7
MESH:D003398,2255,7
MESH:D003398,182,5
MESH:D003398,5788,5
MESH:D003398,50943,5
MESH:D003398,121340,5
MESH:D003398,7994,5
MESH:D003398,7422,5
MESH:D003398,4487,5
MESH:D003398,9734,3
MESH:D003398,64806,3
MESH:D003398,5008,3
MESH:D003398,1586,8
MESH:D003398,7043,6
MESH:D003398,213,6
MESH:D003398,5133,4
MESH:D003398,5595,4
MESH:D003398,3606,4
MESH:D003398,126669,4
MESH:D003398,6295,4
MESH:D003398,6949,4
MESH:D003398,4318,4
MESH:D003398,27245,4
MESH:D003398,1956,4
MESH:D003398,54507,2
MESH:D003398,1969,2
MESH:D003398,2146,2
MESH:D003398,26229,2
MESH:D003398,54205,2
MESH:D003398,286,2
MESH:D003398,5648,5
MESH:D003398,78989,5
MESH:D003398,23049,5
MESH:D003398,3574,5
MESH:D003398,6037,5
MESH:D003398,999,3
MESH:D003398,102723407,3
MESH:D003398,10075,3
MESH:D003398,2246,3
MESH:D003398,53834,3
MESH:D003398,1000,3
MESH:D003398,1942,1
MESH:D003398,362,1
MESH:D003398,4250,1
MESH:D003398,1308,1
MESH:D003398,5900,1
MESH:D003398,5414,1
MESH:D003398,2149,1
MESH:D003398,8909,6
MESH:D003398,1589,6
MESH:D003398,2259,1
MESH:D003398,10611,1
MESH:D003398,1636,4
MESH:D003398,3570,4
MESH:D003398,51497,4
MESH:D003398,3578,4
MESH:D003398,2041,4
MESH:D003398,8600,4
MESH:D003398,2252,4
MESH:D003398,5578,4
MESH:D003398,351,2
MESH:D003398,8085,2
MESH:D003398,1654,2
MESH:D003398,27086,2
MESH:D003398,7021,2
MESH:D003398,4982,2
MESH:D003398,10252,2
MESH:D003398,2159,2
MESH:D003398,5396,2
MESH:D003398,8510,2
MESH:D003398,3976,5
MESH:D003398,968,5
MESH:D003398,79813,5
MESH:D003398,57728,5
MESH:D003398,655,3
MESH:D003398,5599,3
MESH:D003398,3190,3
MESH:D003398,5034,3
MESH:D003398,1749,3
MESH:D003398,3664,3
MESH:D003398,6608,3
MESH:D003398,6774,3
MESH:D003398,7076,3
MESH:D003398,27181,3
MESH:D003398,241,3
MESH:D003398,4774,3
MESH:D003398,4155,3
MESH:D003398,6382,3
MESH:D003398,4763,3
MESH:D003398,2323,3
MESH:D003398,64324,3
MESH:D003398,4137,3
MESH:D003398,5562,1
MESH:D003398,8740,1
MESH:D003398,64135,1
MESH:D003398,23429,1
MESH:D003398,6368,1
MESH:D003398,6299,1
MESH:D003398,89970,1
MESH:D003398,2195,1
MESH:D003398,5498,1
MESH:D003398,5894,1
MESH:D003398,59272,4
MESH:D003398,60,4
MESH:D003398,7204,4
MESH:D003398,246778,4
MESH:D003398,5741,4
MESH:D003398,10584,4
MESH:D003398,2064,4
MESH:D003398,2176,4
MESH:D003398,6356,4
MESH:D003398,4353,4
MESH:D003398,55764,4
MESH:D003398,10752,4
MESH:D003398,1595,4
MESH:D003398,56172,2
MESH:D003398,259266,2
MESH:D003398,6198,2
MESH:D003398,71,2
MESH:D003398,246,2
MESH:D003398,820,2
MESH:D003398,1440,2
MESH:D003398,89780,2
MESH:D003398,6606,2
MESH:D003398,6403,2
MESH:D003398,10563,2
MESH:D003398,1356,2
MESH:D003398,4094,2
MESH:D003398,64094,2
MESH:D003398,22941,2
MESH:D003398,6036,2
MESH:D003398,1080,2
MESH:D003398,171389,2
MESH:D003398,654,2
MESH:D003398,931,2
MESH:D003398,5077,2
MESH:D003398,5083,2
MESH:D003398,1746,2
MESH:D003398,6369,2
MESH:D003398,1230,2
MESH:D003398,6664,2
MESH:D003398,4780,2
MESH:D003398,2306,2
MESH:D003398,169792,2
MESH:D003398,6387,2
MESH:D003398,7852,2
MESH:D003398,10903,2
MESH:D003398,7294,2
MESH:D003398,3791,2
MESH:D003398,3563,2
MESH:D003398,23336,2
MESH:D003398,8092,2
MESH:D003398,5744,2
MESH:D003398,10743,2
MESH:D003398,5728,2
MESH:D003398,5605,2
MESH:D003398,9469,2
MESH:D003398,8817,2
MESH:D003398,2251,2
MESH:D003398,5308,2
MESH:D003398,675,2
MESH:D003398,4843,2
MESH:D003398,114548,3
MESH:D003398,2710,3
MESH:D003398,933,3
MESH:D003398,7157,3
MESH:D003398,1277,3
MESH:D003398,10491,3
MESH:D003398,4790,3
MESH:D003398,867,3
MESH:D003398,1270,3
MESH:D003398,6347,3
MESH:D003398,651,3
MESH:D003398,5340,3
MESH:D003398,54474,3
